imdb_id,title,original_title,year,runtime_minutes,genres,average_rating,num_votes,imdb_url
tt1235187,Where Hands Touch,Where Hands Touch,2018,122.0,Drama,6.6,6304,https://www.imdb.com/title/tt1235187
tt0312841,The Way Home,Jibeuro,2002,80.0,Drama,7.7,6296,https://www.imdb.com/title/tt0312841
tt3159564,My World,Benim Dünyam,2013,100.0,Drama,7.5,6296,https://www.imdb.com/title/tt3159564
tt0119859,Paradise Road,Paradise Road,1997,122.0,Drama,6.8,6295,https://www.imdb.com/title/tt0119859
tt0492835,The King and the Clown,Wang-ui namja,2005,119.0,Drama,7.3,6295,https://www.imdb.com/title/tt0492835
tt4080768,Summertime,La belle saison,2015,105.0,Drama,6.7,6285,https://www.imdb.com/title/tt4080768
tt26690825,Balagam,Balagam,2023,131.0,Drama,7.9,6277,https://www.imdb.com/title/tt26690825
tt0111786,In the Heat of the Sun,Yang guang can lan de ri zi,1994,134.0,Drama,8.0,6276,https://www.imdb.com/title/tt0111786
tt11773308,Ranga Maarthaanda,Rangamarthanda,2023,153.0,Drama,8.0,6275,https://www.imdb.com/title/tt11773308
tt6324614,Sobibor,Sobibor,2018,118.0,Drama,6.4,6272,https://www.imdb.com/title/tt6324614
tt2321502,Uncanny,Uncanny,2015,85.0,Drama,6.2,6271,https://www.imdb.com/title/tt2321502
tt9916362,Coven,Akelarre,2020,92.0,Drama,6.4,6268,https://www.imdb.com/title/tt9916362
tt3661298,Septembers of Shiraz,Septembers of Shiraz,2015,110.0,Drama,6.2,6266,https://www.imdb.com/title/tt3661298
tt1095442,Goodbye Solo,Goodbye Solo,2008,91.0,Drama,7.3,6261,https://www.imdb.com/title/tt1095442
tt0101746,The Doctor,The Doctor,1991,122.0,Drama,6.9,6260,https://www.imdb.com/title/tt0101746
tt3344922,Hungry Hearts,Hungry Hearts,2014,109.0,Drama,6.5,6258,https://www.imdb.com/title/tt3344922
tt1029241,Vinyan,Vinyan,2008,96.0,Drama,5.3,6255,https://www.imdb.com/title/tt1029241
tt7737734,The Other Lamb,The Other Lamb,2019,96.0,Drama,5.3,6252,https://www.imdb.com/title/tt7737734
tt15042300,On Swift Horses,On Swift Horses,2024,119.0,Drama,6.0,6248,https://www.imdb.com/title/tt15042300
tt1848771,Aarakshan,Aarakshan,2011,164.0,Drama,6.2,6243,https://www.imdb.com/title/tt1848771
tt0317042,One Point O,One Point O,2004,95.0,Drama,5.9,6241,https://www.imdb.com/title/tt0317042
tt1034306,Dorothy Mills,Dorothy,2008,102.0,Drama,6.0,6239,https://www.imdb.com/title/tt1034306
tt24249946,The Caine Mutiny Court-Martial,The Caine Mutiny Court-Martial,2023,108.0,Drama,6.7,6239,https://www.imdb.com/title/tt24249946
tt27940347,Riwaj,Riwaj,2025,130.0,Drama,4.9,6239,https://www.imdb.com/title/tt27940347
tt3687398,The Runner,The Runner,2015,90.0,Drama,4.7,6238,https://www.imdb.com/title/tt3687398
tt3735332,Alienated,Alienated,2015,81.0,Drama,3.3,6237,https://www.imdb.com/title/tt3735332
tt1178197,The World is Big and Salvation Lurks Around the Corner,Svetat e golyam i spasenie debne otvsyakade,2008,105.0,Drama,7.9,6236,https://www.imdb.com/title/tt1178197
tt1014806,The Poker House,The Poker House,2008,93.0,Drama,6.2,6234,https://www.imdb.com/title/tt1014806
